id_venta_detalle,id_articulo,cantidad,precio_compra,precio_venta,descuento,id_venta,id_promocion
109,54,1,"80.00","89.00","0.00",9,1
110,21,1,"21.00","25.00","4.50",33,4
111,34,4,"26.00","30.00","4.50",9,4
112,17,1,"18.00","20.00","0.00",17,1
113,81,1,"140.00","149.00","4.50",5,4
114,84,2,"140.00","149.00","6.00",3,3
115,16,1,"18.00","20.00","3.00",37,5
116,35,1,"26.00","30.00","0.00",78,1
117,22,2,"21.00","25.00","0.00",44,1
118,99,3,"50.00","59.00","6.00",23,3
119,74,1,"90.00","99.00","0.00",100,1
120,6,2,"14.00","16.00","6.00",9,3
121,28,4,"32.00","36.00","0.00",12,1
122,47,1,"26.00","30.00","0.00",71,1
123,1,3,"21.00","25.00","0.00",58,1
124,62,2,"90.00","99.00","0.00",32,1
125,45,2,"26.00","30.00","0.00",9,1
126,47,1,"26.00","30.00","5.50",50,6
127,25,3,"24.00","28.00","0.00",45,1
128,38,2,"36.00","40.00","0.00",15,1
129,22,1,"21.00","25.00","0.00",78,1
130,70,2,"110.00","120.00","3.00",22,5
131,93,4,"46.00","55.00","3.00",13,5
132,100,2,"50.00","59.00","0.00",65,1
133,63,1,"110.00","120.00","3.00",97,5
134,49,2,"26.00","30.00","5.00",51,2
135,69,1,"110.00","120.00","5.00",53,2
136,33,2,"26.00","30.00","0.00",66,1
137,15,1,"18.00","20.00","0.00",67,1
138,42,1,"36.00","40.00","0.00",47,1
139,77,4,"90.00","99.00","4.50",42,4
140,54,1,"80.00","89.00","6.00",16,3
141,91,4,"46.00","55.00","0.00",31,1
142,99,1,"50.00","59.00","0.00",53,1
143,99,1,"50.00","59.00","0.00",40,1
144,36,4,"36.00","40.00","5.00",25,2
145,74,1,"90.00","99.00","0.00",84,1
146,27,3,"32.00","36.00","5.50",66,6
147,65,1,"110.00","120.00","3.00",31,5
148,25,2,"24.00","28.00","0.00",78,1
149,49,1,"26.00","30.00","5.50",12,6
150,75,2,"90.00","99.00","0.00",60,1
151,29,2,"32.00","36.00","0.00",67,1
152,96,2,"50.00","59.00","5.50",10,6
153,60,1,"90.00","99.00","6.00",97,3
154,74,1,"90.00","99.00","6.00",65,3
155,10,2,"16.00","18.00","0.00",92,1
156,98,1,"50.00","59.00","0.00",71,1
157,92,1,"46.00","55.00","5.00",6,2
158,5,4,"22.00","26.00","0.00",70,1
159,25,1,"24.00","28.00","0.00",90,1
160,61,1,"90.00","99.00","4.50",85,4
161,24,1,"24.00","28.00","6.00",39,3
162,73,1,"90.00","99.00","0.00",19,1
163,67,1,"110.00","120.00","5.50",6,6
164,72,1,"90.00","99.00","0.00",48,1
165,96,1,"50.00","59.00","5.50",84,6
166,16,4,"18.00","20.00","0.00",25,1
167,97,1,"50.00","59.00","4.50",29,4
168,54,2,"80.00","89.00","3.00",42,5
169,97,1,"50.00","59.00","0.00",77,1
170,89,1,"46.00","55.00","5.50",75,6
171,40,1,"32.00","36.00","4.50",89,4
172,90,2,"46.00","55.00","0.00",53,1
173,56,1,"90.00","99.00","5.50",78,6
174,78,2,"90.00","99.00","6.00",30,3
175,21,4,"21.00","25.00","0.00",99,1
176,77,1,"90.00","99.00","0.00",43,1
177,5,1,"22.00","26.00","5.50",67,6
178,45,1,"26.00","30.00","0.00",88,1
179,76,1,"90.00","99.00","6.00",61,3
180,22,2,"21.00","25.00","0.00",21,1
181,35,2,"26.00","30.00","0.00",9,1
182,23,1,"21.00","25.00","4.50",73,4
183,19,2,"18.00","20.00","4.50",37,4
184,84,3,"140.00","149.00","4.50",8,4
185,68,4,"110.00","120.00","0.00",18,1
186,85,2,"140.00","149.00","4.50",14,4
187,56,3,"90.00","99.00","5.50",62,6
188,49,1,"26.00","30.00","5.50",92,6
189,23,3,"21.00","25.00","0.00",5,1
190,74,1,"90.00","99.00","6.00",53,3
191,71,1,"90.00","99.00","5.50",27,6
192,82,4,"140.00","149.00","0.00",41,1
193,30,2,"26.00","30.00","4.50",32,4
194,74,1,"90.00","99.00","5.50",100,6
195,31,2,"26.00","30.00","4.50",29,4
196,92,2,"46.00","55.00","3.00",96,5
197,49,2,"26.00","30.00","6.00",19,3
198,33,1,"26.00","30.00","4.50",82,4
199,83,1,"140.00","149.00","0.00",4,1
200,10,1,"16.00","18.00","5.50",48,6
